image,Born,Person,description,occupation,position held,country of citizenship,given name,UpdatedAt
,1999-05-07,Zorhan Bassong,Canadian football player,association football player,,Canada,,2020-05-07
,1999-05-07,Bill,Person (*1999) ♂,,,,,2020-05-07
,1999-05-07,Blaine Ridge-Davis,Sport cyclist and track cyclist (*1999) ♀,sport cyclist track cyclist,,,,2020-05-07
,1998-05-07,Illya Solomin,Swedish figure skater,figure skater,,Sweden,,2020-05-07
,1998-05-07,Kim Un-sol,North Korean gymnast,acrobatic gymnast,,North Korea,,2020-05-07
,1998-05-07,Jesse Puljujärvi,Finnish ice hockey player,ice hockey player,,Finland,Jesse,2020-05-07
,1998-05-07,Dani Olmo,Spanish association football player,association football player,,Spain,Dani,2020-05-07
,1998-05-07,Mihaela Marinova,Bulgarian singer and songwriter,singer actor,,Bulgaria,Mihaela,2020-05-07
,1998-05-07,Conor Fitzsimmons,athlete (*1998) ♂,athlete,,,,2020-05-07
,1998-05-07,Nolan Jones,baseball player (1998-),baseball player,,,,2020-05-07
,1998-05-07,Santeri Pakkanen,Finnish footballer,association football player,,Finland,Santeri,2020-05-07
,1998-05-07,Daryl Ferrario,cricketer,cricketer,,India,,2020-05-07
,1998-05-07,Damian Willemse,South African rugby union footballer (b. 1998),rugby union player,,South Africa,Damian,2020-05-07
,1998-05-07,Cristian Nahuel Barrios,Argentinian association football player,association football player,,Argentina,Cristian,2020-05-07
,1998-05-07,Deanna Berry,Australian rules footballer,Australian rules football player,,,Deanna,2020-05-07
,1998-05-07,Aleksandr Solodkov,association football player,association football player,,,,2020-05-07
,1998-05-07,Orestis Kiomourtzoglou,German-Greek footballer,association football player,,Germany,,2020-05-07
,1998-05-07 1999-05-18,Diallang Jaiyesimi,association football player,association football player,,United Kingdom,,2020-05-07
,1998-05-07,Ismaila Soro,association football player,association football player,,,,2020-05-07
,1998-05-07,Dávid Sinkovits,association football player,association football player,,,Dávid,2020-05-07
,1998-05-07,Nikolas Mattheou,association football player,association football player,,,,2020-05-07
,1998-05-07,Thalisson Kelven,Brazilian footballer,association football player,,Brazil,,2020-05-07
,1998-05-07,Jean Pyerre,association football player,association football player,,Brazil,Jean,2020-05-07
,1998-05-07,Utkarsh Singh,cricketer,cricketer,,India,,2020-05-07
,1998-05-07,Josephine Nordstrøm Olsen,Danish handball player,handball player,,Denmark,Josephine,2020-05-07
,1998-05-07,Esteban Obiang,association football player,association football player,,Spain,Esteban,2020-05-07
,1998-05-07,Jess Watkin,New Zealand cricketer,cricketer,,New Zealand,,2020-05-07
,1998-05-07,Alessandro Fratangelo,association football player (*1998) ♂,association football player,,,Alessandro,2020-05-07
,1998-05-07 1996-05-07,Johannes Handl,Austrian football player,association football player,,Austria,Johannes,2020-05-07
,1998-05-07,Alessio Proietti Colonna,Italian swimmer,swimmer,,Italy,Alessio,2020-05-07
,1998-05-07,Andrés Llamas,association football player,association football player,,,Andrés,2020-05-07
,1998-05-07,MrBeast,American YouTuber,YouTuber,,United States of America,,2020-05-07
,1998-05-07,"Mohamed Mahmoud (footballer, born 1998)",Egyptian association football player (1998-),association football player,,Egypt,Mohammed,2020-05-07
,1998-05-07,Giorgi Chochishvili,association football player,association football player,,,,2020-05-07
,1998-05-07,Kamil Adamczyk,Polish handball player,handball player,,,,2020-05-07
,1998-05-07,Phongsapak Kerdlaphee,Tennis player (*1998) ♂,tennis player,,,,2020-05-07
,1997-05-07,Youri Tielemans,Belgian association football player,association football player,,Belgium,Youri,2020-05-07
,1997-05-07,Daria Kasatkina,Russian tennis player,tennis player,,Russia,Darya,2020-05-07
